geocoded_address,event_date,year,CSA2010
"3100 ELLERSLIE AVE, BALTIMORE, MD, 21218",6/21/07,2007,The Waverlies
"1500 PENNSYLVANIA AVE, BALTIMORE, MD, 21217",6/23/07,2007,Upton/Druid Heights
"x=-76.659487, y=39.351047",6/27/07,2007,Mount Washington/Coldspring
"4000 CEDARDALE ROAD, BALTIMORE, MD, 21215",6/29/07,2007,Dorchester/Ashburton
"1000 GRANBY ST, MD, 21202",6/30/07,2007,Harbor East/Little Italy
"800 N PATTERSON PARK AVE, BALTIMORE, MD, 21205",7/1/07,2007,Madison/East End
"4800 HERRING RUN DR, BALTIMORE, MD, 21214",7/1/07,2007,Lauraville
"1500 N BOND ST, BALTIMORE, MD, 21213",7/1/07,2007,Greenmount East
"4900 GREENCREST ROAD, BALTIMORE, MD, 21206",7/2/07,2007,Claremont/Armistead
"2000 GUILFORD AVE, MD, 21218",7/2/07,2007,Greater Charles Village/Barclay
"1100 GREENMOUNT AVE, BALTIMORE, MD, 21202",7/2/07,2007,Greenmount East
"1700 N BROADWAY, BALTIMORE, MD, 21213",7/3/07,2007,Greenmount East
"800 N PAYSON ST, BALTIMORE, MD, 21217",7/6/07,2007,Sandtown-Winchester/Harlem Park
"800 SAINT PAUL ST, MD, 21202",7/7/07,2007,Midtown
"3000 ROSEKEMP AVE, MD, 21214",7/7/07,2007,Lauraville
"4400 PARKTON ST, BALTIMORE, MD, 21229",7/10/07,2007,Allendale/Irvington/S. Hilton
"300 S FULTON AVE, BALTIMORE, MD, 21223",7/10/07,2007,Southwest Baltimore
"400 N BOULDIN ST, BALTIMORE, MD, 21224",7/12/07,2007,Patterson Park North & East
"200 S HERRING CT, BALTIMORE, MD, 21231",7/12/07,2007,Harbor East/Little Italy
"5700 RADECKE AVE, BALTIMORE, MD, 21206",7/15/07,2007,Cedonia/Frankford
"5700 RADECKE AVE, BALTIMORE, MD, 21206",7/15/07,2007,Cedonia/Frankford
"2800 BOARMAN AVE, BALTIMORE, MD, 21215",7/15/07,2007,Southern Park Heights
"2100 KOKO LN, BALTIMORE, MD, 21216",7/15/07,2007,Greater Mondawmin
"1800 N GAY ST, BALTIMORE, MD, 21213",7/15/07,2007,Clifton-Berea
"6100 FORTVIEW WAY, BALTIMORE, MD, 21224",7/17/07,2007,Southeastern
"3400 SAINT AMBROSE AVE, BALTIMORE, MD, 21215",7/17/07,2007,Southern Park Heights
"2800 ROUND ROAD, BALTIMORE, MD, 21225",7/18/07,2007,Cherry Hill
"3000 BELAIR ROAD, MD, 21213",7/19/07,2007,Belair-Edison
"1600 WAVERLY WAY, MD, 21239",7/26/07,2007,Loch Raven
"900 W LOMBARD ST, BALTIMORE, MD, 21223",7/27/07,2007,Poppleton/The Terraces/Hollins Market
"1700 W BALTIMORE ST, BALTIMORE, MD, 21223",7/27/07,2007,Southwest Baltimore
"2900 MOSHER ST, BALTIMORE, MD, 21216",7/28/07,2007,Greater Rosemont
"2100 MCHENRY ST, MD, 21223",7/28/07,2007,Southwest Baltimore
"4600 ROKEBY ROAD, BALTIMORE, MD, 21229",7/31/07,2007,Beechfield/Ten Hills/West Hills
"2400 WESTWOOD AVE, BALTIMORE, MD, 21216",8/1/07,2007,Greater Rosemont
"1200 NANTICOKE ST, BALTIMORE, MD, 21230",8/1/07,2007,Washington Village/Pigtown
"500 E 23RD ST, BALTIMORE, MD, 21218",8/2/07,2007,Midway/Coldstream
"3700 LYNDALE AVE, BALTIMORE, MD, 21213",8/2/07,2007,Belair-Edison
"2400 MARBOURNE AVE, BALTIMORE, MD, 21230",8/2/07,2007,Westport/Mount Winans/Lakeland
"3600 E LOMBARD ST, BALTIMORE, MD, 21224",8/3/07,2007,Highlandtown
"3400 E BALTIMORE ST, BALTIMORE, MD, 21224",8/5/07,2007,Orangeville/East Highlandtown
"5100 QUEENSBERRY AVE, BALTIMORE, MD, 21215",8/6/07,2007,Pimlico/Arlington/Hilltop
"300 E 21ST ST, BALTIMORE, MD, 21218",39300,2007,Greater Charles Village/Barclay
"1400 N MILTON AVE, BALTIMORE, MD, 21213",8/7/07,2007,Clifton-Berea
"2300 E OLIVER ST, BALTIMORE, MD, 21213",8/8/07,2007,Clifton-Berea
"3400 DUPONT AVE, BALTIMORE, MD, 21215",8/9/07,2007,Southern Park Heights
"1300 W LAFAYETTE AVE, BALTIMORE, MD, 21217",8/11/07,2007,Sandtown-Winchester/Harlem Park
"2100 BARCLAY ST, BALTIMORE, MD, 21218",8/12/07,2007,Greater Charles Village/Barclay
"1100 HARPER WAY, MD, 21205",8/13/07,2007,Claremont/Armistead
"700 H BRUNE ST, BALTIMORE, MD, 21201",8/15/07,2007,Upton/Druid Heights
"4000 5TH ST, BALTIMORE, MD, 21225",8/16/07,2007,Brooklyn/Curtis Bay/Hawkins Point
"2400 WOODBROOK AVE, MD, 21217",8/18/07,2007,Penn North/Reservoir Hill
"1400 RIGGS AVE, BALTIMORE, MD, 21217",8/23/07,2007,Sandtown-Winchester/Harlem Park
"3500 E BALTIMORE ST, BALTIMORE, MD, 21224",8/26/07,2007,Orangeville/East Highlandtown
"1900 CECIL AVE, BALTIMORE, MD, 21218",8/26/07,2007,Midway/Coldstream
"2600 GWYNNS FALLS PKWY, BALTIMORE, MD, 21216",8/27/07,2007,Greater Mondawmin
"400 S PAYSON ST, BALTIMORE, MD, 21223",8/28/07,2007,Southwest Baltimore
"3100 ARTABAN PL, MD, 21216",8/30/07,2007,Greater Mondawmin
"3000 NORMOUNT CT, BALTIMORE, MD, 21216",8/30/07,2007,Greater Rosemont
"2000 FAIRMOUNT AVE, MD, 21231",8/31/07,2007,Oldtown/Middle East
"1300 ROSEDALE ST, MD, 21216",9/2/07,2007,Greater Rosemont
"6100 MACBETH DR, BALTIMORE, MD, 21239",9/4/07,2007,Loch Raven
"6100 MACBETH DR, BALTIMORE, MD, 21239",9/4/07,2007,Loch Raven
"2500 GARRETT AVE, MD, 21218",9/4/07,2007,Midway/Coldstream
"800 N CHESTER ST, BALTIMORE, MD, 21205",9/8/07,2007,Oldtown/Middle East
"3600 ELMLEY AVE, BALTIMORE, MD, 21213",9/10/07,2007,Belair-Edison
"2500 TERRA FIRMA ROAD, BALTIMORE, MD, 21225",9/15/07,2007,Cherry Hill
"2300 E OLIVER ST, BALTIMORE, MD, 21213",9/15/07,2007,Clifton-Berea
"200 FREDHILTON PASS, MD, 21229",9/15/07,2007,Allendale/Irvington/S. Hilton
"1500 WOODYEAR ST, MD, 21217",9/15/07,2007,Sandtown-Winchester/Harlem Park
"3400 BELAIR ROAD, MD, 21213",9/16/07,2007,Belair-Edison
"3400 BELAIR ROAD, MD, 21213",9/16/07,2007,Belair-Edison
"2900 ROUND ROAD, BALTIMORE, MD, 21225",9/17/07,2007,Cherry Hill
"1300 E COLD SPRING LN, BALTIMORE, MD, 21239",9/17/07,2007,Northwood
"2600 E CHASE ST, BALTIMORE, MD, 21213",9/19/07,2007,Clifton-Berea
"1700 W 41ST ST, BALTIMORE, MD, 21211",9/22/07,2007,Medfield/Hampden/Woodberry/Remington
"600 WYMAN PARK DR, MD, 21211",9/25/07,2007,Medfield/Hampden/Woodberry/Remington
"5200 FAIRLAWN AVE, BALTIMORE, MD, 21215",9/25/07,2007,Glen-Fallstaff
"600 N BRICE ST, BALTIMORE, MD, 21217",9/26/07,2007,Sandtown-Winchester/Harlem Park
"2800 PARKWOOD AVE, BALTIMORE, MD, 21217",9/27/07,2007,Penn North/Reservoir Hill
"800 FREMONT AVE, MD, 21217",9/28/07,2007,Sandtown-Winchester/Harlem Park
"2300 EUTAW PL, BALTIMORE, MD, 21217",10/5/07,2007,Penn North/Reservoir Hill
"1700 HOMESTEAD ST, BALTIMORE, MD, 21218",10/6/07,2007,Midway/Coldstream
"1400 MAY CT, BALTIMORE, MD, 21231",10/6/07,2007,Oldtown/Middle East
"1600 NORMAL AVE, BALTIMORE, MD, 21213",10/9/07,2007,Clifton-Berea
"3400 WINTERBOURNE ROAD, MD, 21216",10/10/07,2007,Greater Rosemont
"1100 W BALTIMORE ST, BALTIMORE, MD, 21223",10/11/07,2007,Poppleton/The Terraces/Hollins Market
"2100 CRIMEA ROAD, MD, 21207",10/12/07,2007,Dickeyville/Franklintown
"1700 LATROBE ST, BALTIMORE, MD, 21202",10/13/07,2007,Midtown
"2600 QUANTICO AVE, BALTIMORE, MD, 21215",10/14/07,2007,Southern Park Heights
"2800 QUANTICO AVE, BALTIMORE, MD, 21215",10/15/07,2007,Southern Park Heights
"2100 ALLENDALE ROAD, BALTIMORE, MD, 21216",10/15/07,2007,Forest Park/Walbrook
"3200 WOODLAND AVE, MD, 21215",10/18/07,2007,Pimlico/Arlington/Hilltop
"1800 WALBROOK AVE, BALTIMORE, MD, 21217",10/18/07,2007,Greater Mondawmin
"4200 AUDREY AVE, BALTIMORE, MD, 21225",10/19/07,2007,Brooklyn/Curtis Bay/Hawkins Point
"700 E PATAPSCO AVE, BALTIMORE, MD, 21225",10/25/07,2007,Brooklyn/Curtis Bay/Hawkins Point
"600 LYNDHURST ST, BALTIMORE, MD, 21229",10/26/07,2007,Edmondson Village
"5900 RADECKE AVE, MD, 21206",10/29/07,2007,Cedonia/Frankford
"700 BARTLETT AVE, BALTIMORE, MD, 21218",10/30/07,2007,Midway/Coldstream
"5800 EDGEPARK ROAD, BALTIMORE, MD, 21239",10/30/07,2007,Loch Raven
"3000 WOODLAND AVE, BALTIMORE, MD, 21215",10/31/07,2007,Pimlico/Arlington/Hilltop
"2400 BRENTWOOD AVE, BALTIMORE, MD, 21218",10/31/07,2007,Greater Charles Village/Barclay
"3300 ELMORA AVE, BALTIMORE, MD, 21213",11/2/07,2007,Belair-Edison
"1400 BONSAL ST, BALTIMORE, MD, 21224",11/2/07,2007,Southeastern
"1600 E EAGER ST, BALTIMORE, MD, 21205",11/4/07,2007,Oldtown/Middle East
"1600 LOCHWOOD ROAD, BALTIMORE, MD, 21218",11/6/07,2007,Northwood
"2600 OSWEGO AVE, BALTIMORE, MD, 21215",11/11/07,2007,Southern Park Heights
"2600 GROGAN AVE, BALTIMORE, MD, 21213",11/11/07,2007,Clifton-Berea
"699 BAKER ST, MD, 21217",11/12/07,2007,Sandtown-Winchester/Harlem Park
"7100 MCCLEAN BLVD, MD, 21234",11/15/07,2007,Harford/Echodale
"3000 ROSALIND AVE, BALTIMORE, MD, 21215",11/16/07,2007,Southern Park Heights
"300 N PARRISH ST, BALTIMORE, MD, 21223",11/19/07,2007,Southwest Baltimore
"1000 BOYD ST, BALTIMORE, MD, 21223",11/23/07,2007,Poppleton/The Terraces/Hollins Market
"2400 PRESBURY ST, BALTIMORE, MD, 21216",11/26/07,2007,Greater Rosemont
"4000 W ROGERS AVE, BALTIMORE, MD, 21215",11/27/07,2007,Glen-Fallstaff
"5000 CORDELIA AVE, BALTIMORE, MD, 21215",11/29/07,2007,Pimlico/Arlington/Hilltop
"5205 WINDSOR MILL RD, MD, 21207",12/2/07,2007,Dickeyville/Franklintown
"2800 W NORTH AVE, BALTIMORE, MD, 21216",12/3/07,2007,Greater Rosemont
"6100 BOSTON ST, MD, 21224",12/11/07,2007,Southeastern
"2900 CHELSEA TER, BALTIMORE, MD, 21216",12/14/07,2007,Forest Park/Walbrook
"2500 N CALVERT ST, BALTIMORE, MD, 21218",12/15/07,2007,Greater Charles Village/Barclay
"3200 WALBROOK AVE, BALTIMORE, MD, 21216",12/18/07,2007,Greater Rosemont
"x=-76.648088, y=39.261137",12/20/07,2007,Westport/Mount Winans/Lakeland
"2300 DRUID HILL AVE, BALTIMORE, MD, 21217",12/21/07,2007,Penn North/Reservoir Hill
"6600 VINCENT LN, MD, 21215",12/24/07,2007,Glen-Fallstaff
"2400 REISTERSTOWN ROAD, BALTIMORE, MD, 21217",12/24/07,2007,Greater Mondawmin
"1 N HIGHLAND AVE, BALTIMORE, MD, 21224",12/24/07,2007,Orangeville/East Highlandtown
"1700 N DALLAS ST, BALTIMORE, MD, 21213",12/26/07,2007,Greenmount East
"900 N CAROLINE ST, BALTIMORE, MD, 21205",12/28/07,2007,Oldtown/Middle East
"800 BETHUNE ROAD, MD, 21225",1/1/08,2008,Cherry Hill
"2718 HUGO AVE, BALTIMORE, MD, 21218",1/1/08,2008,Midway/Coldstream
"2800 KENTUCKY AVE, BALTIMORE, MD, 21213",1/4/08,2008,Belair-Edison
"3000 W NORTH AVE, BALTIMORE, MD, 21216",1/8/08,2008,Greater Rosemont
"1500 33RD ST, MD, 21218",1/9/08,2008,Northwood
"400 E 25TH ST, BALTIMORE, MD, 21218",1/12/08,2008,Greater Charles Village/Barclay
"800 BETHUNE ROAD, MD, 21225",1/14/08,2008,Cherry Hill
"2700 PELHAM AVE, BALTIMORE, MD, 21213",1/16/08,2008,Belair-Edison
"3500 CLIFTMONT AVE, BALTIMORE, MD, 21213",1/18/08,2008,Belair-Edison
"2700 TIVOLY AVE, BALTIMORE, MD, 21218",1/18/08,2008,Midway/Coldstream
"1500 HOLBROOK ST, BALTIMORE, MD, 21202",1/19/08,2008,Greenmount East
"400 STRICKER ST, MD, 21223",1/24/08,2008,Southwest Baltimore
"900 PENNSYLVANIA AVE, BALTIMORE, MD, 21201",1/25/08,2008,Upton/Druid Heights
"2000 W LAFAYETTE AVE, BALTIMORE, MD, 21217",1/25/08,2008,Sandtown-Winchester/Harlem Park
"x=-76.567072, y=39.368528",1/30/08,2008,Harford/Echodale
"1600 E FEDERAL ST, BALTIMORE, MD, 21213",2/2/08,2008,Greenmount East
"1600 E FEDERAL ST, BALTIMORE, MD, 21213",2/5/08,2008,Greenmount East
"500 N LOUDON AVE, BALTIMORE, MD, 21229",2/7/08,2008,Allendale/Irvington/S. Hilton
"1800 BOLTON ST, BALTIMORE, MD, 21217",2/7/08,2008,Midtown
"4400 FAIRVIEW AVE, BALTIMORE, MD, 21216",2/15/08,2008,Forest Park/Walbrook
"1500 PENTRIDGE ROAD, BALTIMORE, MD, 21239",2/15/08,2008,Northwood
"3400 WOODLAND AVE, BALTIMORE, MD, 21215",2/16/08,2008,Pimlico/Arlington/Hilltop
"1000 RUSSELL ST, BALTIMORE, MD, 21230",2/18/08,2008,Washington Village/Pigtown
"1100 N CHESTER ST, BALTIMORE, MD, 21213",2/20/08,2008,Oldtown/Middle East
"1500 W MOUNT ROYAL AVE, BALTIMORE, MD, 21217",2/27/08,2008,Midtown
"1500 W MOUNT ROYAL AVE, BALTIMORE, MD, 21217",2/27/08,2008,Midtown
"1300 BLOOMINGDALE ROAD, MD, 21216",2/29/08,2008,Greater Rosemont
"5000 DENMORE AVE, BALTIMORE, MD, 21215",3/1/08,2008,Pimlico/Arlington/Hilltop
"2800 W LAFAYETTE AVE, BALTIMORE, MD, 21216",3/3/08,2008,Greater Rosemont
"700 DRUID PARK LAKE DR, MD, 21217",3/4/08,2008,Penn North/Reservoir Hill
"200 ATHOLGATE LANE, MD, 21229",3/5/08,2008,Beechfield/Ten Hills/West Hills
"700 WILDWOOD PKWY, BALTIMORE, MD, 21229",3/9/08,2008,Edmondson Village
"300 S MONROE ST, BALTIMORE, MD, 21223",3/9/08,2008,Southwest Baltimore
"1800 E 28TH ST, BALTIMORE, MD, 21218",3/10/08,2008,Midway/Coldstream
"2500 N EDGECOMBE CIR, BALTIMORE, MD, 21215",3/11/08,2008,Southern Park Heights
"2800 SPELMAN ROAD, BALTIMORE, MD, 21225",3/12/08,2008,Cherry Hill
"1900 ROSEDALE ST, MD, 21216",3/13/08,2008,Greater Rosemont
"400 W FRANKLIN ST, BALTIMORE, MD, 21201",3/14/08,2008,Downtown/Seton Hill
"2900 GARRISON BLVD, BALTIMORE, MD, 21216",3/15/08,2008,Forest Park/Walbrook
"3600 WINTERBOURNE ROAD, BALTIMORE, MD, 21216",3/20/08,2008,Greater Rosemont
"3700 RAVENWOOD AVE, BALTIMORE, MD, 21213",3/23/08,2008,Belair-Edison
"3400 WILKENS AVE, BALTIMORE, MD, 21229",3/23/08,2008,Morrell Park/Violetville
"400 STRICKER ST, MD, 21223",3/24/08,2008,Southwest Baltimore
"2500 E CHASE ST, BALTIMORE, MD, 21213",3/24/08,2008,Clifton-Berea
"700 W NORTH AVE, BALTIMORE, MD, 21217",3/25/08,2008,Penn North/Reservoir Hill
"300 S ROBINSON ST, BALTIMORE, MD, 21224",3/25/08,2008,Patterson Park North & East
"100 ADDISON ST, MD, 21223",3/27/08,2008,Southwest Baltimore
"5400 NELSON AVE, BALTIMORE, MD, 21215",3/30/08,2008,Pimlico/Arlington/Hilltop
"1000 BILLIE HOLIDAY CT, MD, 21205",3/30/08,2008,Oldtown/Middle East
"100 N EUTAW ST, BALTIMORE, MD, 21201",3/30/08,2008,Downtown/Seton Hill
"100 N EUTAW ST, BALTIMORE, MD, 21201",3/30/08,2008,Downtown/Seton Hill
"100 N EUTAW ST, BALTIMORE, MD, 21201",3/30/08,2008,Downtown/Seton Hill
"2400 E HOFFMAN ST, BALTIMORE, MD, 21213",3/31/08,2008,Clifton-Berea
"800 FRANKLINTOWN ROAD, MD, 21216",4/1/08,2008,Greater Rosemont
"400 STRICKER ST, MD, 21223",4/3/08,2008,Southwest Baltimore
"600 N CLINTON ST, BALTIMORE, MD, 21205",4/12/08,2008,Patterson Park North & East
"1700 W LEXINGTON ST, BALTIMORE, MD, 21223",4/12/08,2008,Southwest Baltimore
"2900 GARRISON BLVD, BALTIMORE, MD, 21216",4/14/08,2008,Forest Park/Walbrook
"1900 N PATTERSON PARK AVE, BALTIMORE, MD, 21213",4/16/08,2008,Clifton-Berea
"3400 6TH ST, MD, 21225",4/20/08,2008,Brooklyn/Curtis Bay/Hawkins Point
"500 N STRICKER ST, BALTIMORE, MD, 21223",4/21/08,2008,Sandtown-Winchester/Harlem Park
"200 E 31ST ST, BALTIMORE, MD, 21218",4/21/08,2008,Greater Charles Village/Barclay
"3900 BELVEDERE AVE, MD, 21215",4/25/08,2008,Pimlico/Arlington/Hilltop
"4100 NEWBERN AVE, BALTIMORE, MD, 21215",5/1/08,2008,Glen-Fallstaff
"500 BRUNSWICK ST, BALTIMORE, MD, 21223",5/3/08,2008,Allendale/Irvington/S. Hilton
"3200 BELAIR ROAD, MD, 21213",5/4/08,2008,Belair-Edison
"2100 ORLEANS ST, BALTIMORE, MD, 21231",5/4/08,2008,Patterson Park North & East
"2500 E HOFFMAN ST, BALTIMORE, MD, 21213",5/5/08,2008,Clifton-Berea
"3000 PRESBURY ST, BALTIMORE, MD, 21216",5/7/08,2008,Greater Rosemont
"1200 JAMES ST, BALTIMORE, MD, 21223",5/7/08,2008,Washington Village/Pigtown
"2800 HILLEN ROAD, MD, 21218",5/9/08,2008,Midway/Coldstream
"22 S GREENE ST, BALTIMORE, MD, 21201",5/11/08,2008,Downtown/Seton Hill
"300 S DALLAS CT, BALTIMORE, MD, 21231",5/14/08,2008,Harbor East/Little Italy
"2300 E NORTH AVE, BALTIMORE, MD, 21213",5/15/08,2008,Clifton-Berea
"2300 E NORTH AVE, BALTIMORE, MD, 21213",5/15/08,2008,Clifton-Berea
"1500 MOUNT ST, MD, 21217",5/15/08,2008,Sandtown-Winchester/Harlem Park
"4200 COLBORNE ROAD, BALTIMORE, MD, 21229",5/16/08,2008,Edmondson Village
"800 PONTIAC AVE, MD, 21225",5/18/08,2008,Brooklyn/Curtis Bay/Hawkins Point
"1700 HOLLINS ST, BALTIMORE, MD, 21223",5/18/08,2008,Southwest Baltimore
"200 S BROADWAY, BALTIMORE, MD, 21231",5/19/08,2008,Harbor East/Little Italy
"400 S CALHOUN ST, BALTIMORE, MD, 21223",5/24/08,2008,Southwest Baltimore
"1600 NORMAL AVE, BALTIMORE, MD, 21213",5/24/08,2008,Clifton-Berea
"1100 E NORTH AVE, BALTIMORE, MD, 21217",5/25/08,2008,Midway/Coldstream
"1700 N PORT ST, BALTIMORE, MD, 21213",5/27/08,2008,Clifton-Berea
"800 BRIDGEVIEW, BALTIMORE, MD, 21225",6/1/08,2008,Cherry Hill
"3100 CLIFTON AVE, BALTIMORE, MD, 21216",6/2/08,2008,Greater Mondawmin
"4100 ROCKFIELD AVE, BALTIMORE, MD, 21215",6/3/08,2008,Glen-Fallstaff
"2000 E NORTH AVE, BALTIMORE, MD, 21213",6/7/08,2008,Clifton-Berea
"4500 BONNER ROAD, MD, 21216",6/9/08,2008,Forest Park/Walbrook
"3500 BUENA VISTA AVE, BALTIMORE, MD, 21211",6/11/08,2008,Medfield/Hampden/Woodberry/Remington
"1500 MORELAND AVE, BALTIMORE, MD, 21216",6/12/08,2008,Greater Rosemont
"1500 MORELAND AVE, BALTIMORE, MD, 21216",6/12/08,2008,Greater Rosemont
"3100 BRIGHTON ST, BALTIMORE, MD, 21216",6/13/08,2008,Greater Rosemont
"4200 SHAMROCK AVE, BALTIMORE, MD, 21206",6/14/08,2008,Cedonia/Frankford
"4200 SHAMROCK AVE, BALTIMORE, MD, 21206",6/14/08,2008,Cedonia/Frankford
"2900 HAMILTON AVE, BALTIMORE, MD, 21214",6/14/08,2008,Harford/Echodale
"4100 MARIBAN CT, BALTIMORE, MD, 21225",6/17/08,2008,Brooklyn/Curtis Bay/Hawkins Point
"1800 CLIFTON AVE, BALTIMORE, MD, 21217",6/17/08,2008,Greater Mondawmin
"500 BLOOM ST, MD, 21217",6/19/08,2008,Upton/Druid Heights
"400 W 28TH ST, BALTIMORE, MD, 21211",6/19/08,2008,Medfield/Hampden/Woodberry/Remington
"800 BATTERY AVE, MD, 21230",6/20/08,2008,Inner Harbor/Federal Hill
"500 BLOOM ST, MD, 21217",6/22/08,2008,Upton/Druid Heights
"3200 SEQUOIA AVE, BALTIMORE, MD, 21215",6/22/08,2008,Dorchester/Ashburton
"200 H E MONTGOMERY ST, BALTIMORE, MD, 21230",6/22/08,2008,Inner Harbor/Federal Hill
"1300 NANTICOKE ST, MD, 21230",6/22/08,2008,Washington Village/Pigtown
"2600 E BALTIMORE ST, BALTIMORE, MD, 21224",6/23/08,2008,Patterson Park North & East
"1700 ABBOTSTON ST, BALTIMORE, MD, 21218",6/24/08,2008,Midway/Coldstream
"3900 GARRISON BLVD, BALTIMORE, MD, 21215",6/27/08,2008,Dorchester/Ashburton
"2600 E PRESTON ST, BALTIMORE, MD, 21213",7/6/08,2008,Clifton-Berea
"1100 GLENEAGLE ROAD, BALTIMORE, MD, 21239",7/6/08,2008,Loch Raven
"4500 OLD FREDERICK ROAD, BALTIMORE, MD, 21229",7/7/08,2008,Allendale/Irvington/S. Hilton
"1800 BRADDISH AVE, BALTIMORE, MD, 21216",7/11/08,2008,Greater Rosemont
"3700 LIBERTY HEIGHTS AVE, BALTIMORE, MD, 21215",7/12/08,2008,Dorchester/Ashburton
"3200 LYNDALE AVE, BALTIMORE, MD, 21213",7/13/08,2008,Belair-Edison
"5000 PEMBRIDGE AVE, BALTIMORE, MD, 21215",7/18/08,2008,Pimlico/Arlington/Hilltop
"904 E NORTH AVE, BALTIMORE, MD, 21202",7/19/08,2008,Midway/Coldstream
"200 N HILTON ST, BALTIMORE, MD, 21229",7/20/08,2008,Allendale/Irvington/S. Hilton
"3800 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",7/21/08,2008,Southern Park Heights
"1200 PRATT ST, MD, 21223",7/21/08,2008,Poppleton/The Terraces/Hollins Market
"1200 LIMIT AVE, MD, 21239",7/21/08,2008,Loch Raven
"5500 WABASH AVE, BALTIMORE, MD, 21215",7/25/08,2008,Howard Park/West Arlington
"5500 WABASH AVE, BALTIMORE, MD, 21215",7/25/08,2008,Howard Park/West Arlington
"5500 IVANHOE AVE, BALTIMORE, MD, 21212",7/27/08,2008,Chinquapin Park/Belvedere
"2700 MANOKIN ST, MD, 21230",7/28/08,2008,Westport/Mount Winans/Lakeland
"1900 E NORTH AVE, BALTIMORE, MD, 21213",7/28/08,2008,Clifton-Berea
"400 AISQUITH ST, BALTIMORE, MD, 21202",7/29/08,2008,Oldtown/Middle East
"4700 GREENSPRING AVE, MD, 21209",7/30/08,2008,Southern Park Heights
"1700 H W FAYETTE ST, BALTIMORE, MD, 21223",8/5/08,2008,Southwest Baltimore
"1300 BLOOMINGDALE ROAD, MD, 21216",8/6/08,2008,Greater Rosemont
"500 CASTLE DR, MD, 21212",8/7/08,2008,Chinquapin Park/Belvedere
"3300 E FAYETTE ST, BALTIMORE, MD, 21224",8/8/08,2008,Patterson Park North & East
"1000 SHELLBANKS ROAD, BALTIMORE, MD, 21225",8/8/08,2008,Cherry Hill
"1700 N BRADFORD ST, BALTIMORE, MD, 21213",8/9/08,2008,Clifton-Berea
"4100 BARRINGTON ROAD, BALTIMORE, MD, 21207",8/12/08,2008,Dorchester/Ashburton
"1000 BRANTLEY AVE, BALTIMORE, MD, 21217",8/12/08,2008,Sandtown-Winchester/Harlem Park
"3100 SAVOY ST, BALTIMORE, MD, 21230",8/13/08,2008,Westport/Mount Winans/Lakeland
"2800 OAKLEY AVE, BALTIMORE, MD, 21215",8/14/08,2008,Pimlico/Arlington/Hilltop
"1400 PRESTON ST, MD, 21213",8/14/08,2008,Greenmount East
"3600 HARFORD ROAD, BALTIMORE, MD, 21218",8/15/08,2008,Northwood
"2900 GARRISON BLVD, BALTIMORE, MD, 21216",8/16/08,2008,Forest Park/Walbrook
"1000 EDMONDSON AVE, BALTIMORE, MD, 21223",8/19/08,2008,Sandtown-Winchester/Harlem Park
"2400 W LANVALE ST, BALTIMORE, MD, 21216",8/22/08,2008,Greater Rosemont
"1800 N PORT ST, BALTIMORE, MD, 21213",8/26/08,2008,Clifton-Berea
"330 CALVERT ST, MD, 21202",8/27/08,2008,Downtown/Seton Hill
"1300 STRICKER ST, MD, 21217",8/27/08,2008,Sandtown-Winchester/Harlem Park
"800 43RD ST, MD, 21212",8/28/08,2008,Greater Govans
"900 VALLEY ST, MD, 21202",8/30/08,2008,Oldtown/Middle East
"4200 FREDERICK AVE, MD, 21229",9/1/08,2008,Allendale/Irvington/S. Hilton
"400 LONGWOOD ST, MD, 21223",9/1/08,2008,Allendale/Irvington/S. Hilton
"2100 ASHLAND AVE, BALTIMORE, MD, 21205",9/3/08,2008,Madison/East End
"200 HARMISON ST, BALTIMORE, MD, 21223",9/6/08,2008,Southwest Baltimore
"1100 WOODINGTON ROAD, MD, 21229",9/6/08,2008,Edmondson Village
"800 N MILTON AVE, BALTIMORE, MD, 21205",9/8/08,2008,Madison/East End
"2000 BOONE ST, BALTIMORE, MD, 21218",9/9/08,2008,Midway/Coldstream
"1500 WADSWORTH WAY, MD, 21239",9/11/08,2008,Loch Raven
"700 LEXINGTON ST, MD, 21201",9/14/08,2008,Poppleton/The Terraces/Hollins Market
"2100 BOSTON ST, BALTIMORE, MD, 21231",9/14/08,2008,Canton
"1 W PRATT ST, BALTIMORE, MD, 21201",9/19/08,2008,Inner Harbor/Federal Hill
"1500 HAVENWOOD ROAD, BALTIMORE, MD, 21218",9/20/08,2008,Northwood
"2500 AISQUITH ST, MD, 21218",9/23/08,2008,Midway/Coldstream
"5300 CORDELIA AVE, MD, 21215",9/26/08,2008,Pimlico/Arlington/Hilltop
"1900 FREDERICK AVE, BALTIMORE, MD, 21223",9/27/08,2008,Southwest Baltimore
"1700 N BROADWAY, BALTIMORE, MD, 21213",9/28/08,2008,Greenmount East
"700 ALLEGANY PL, MD, 21217",9/30/08,2008,Sandtown-Winchester/Harlem Park
"3000 BELAIR ROAD, MD, 21213",10/1/08,2008,Belair-Edison
"2600 SAINT PAUL ST, MD, 21218",10/4/08,2008,Greater Charles Village/Barclay
"1800 PENROSE AVE, MD, 21223",10/4/08,2008,Southwest Baltimore
"500 S CATHERINE ST, BALTIMORE, MD, 21223",10/6/08,2008,Southwest Baltimore
"3100 VIRGINIA AVE, BALTIMORE, MD, 21215",10/6/08,2008,Southern Park Heights
