"","geocoded_address","event_date","year","CSA2010"
"271","100 W JEFFREY ST, BALTIMORE, MD, 21225","11/11/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"272","3000 OAKFIELD AVE, MD, 21216","11/15/16",2016,"Forest Park/Walbrook"
"273","3000 GREENMOUNT AVE, BALTIMORE, MD, 21218","11/15/16",2016,"Greater Charles Village/Barclay"
"274","3400 MILFORD AVE, BALTIMORE, MD, 21207","11/17/16",2016,"Howard Park/West Arlington"
"275","1000 HOMEWOOD AVE, MD, 21202","11/17/16",2016,"Oldtown/Middle East"
"276","2600 SHIRLEY AVE, MD, 21215","11/18/16",2016,"Southern Park Heights"
"277","1700 E 25TH ST, BALTIMORE, MD, 21213","11/19/16",2016,"Clifton-Berea"
"278","1500 ORLEANS ST, BALTIMORE, MD, 21204","11/19/16",2016,"Oldtown/Middle East"
"279","5100 CHALGROVE AVE, BALTIMORE, MD, 21215","11/20/16",2016,"Pimlico/Arlington/Hilltop"
"280","1700 APPLETON ST, BALTIMORE, MD, 21217","11/20/16",2016,"Sandtown-Winchester/Harlem Park"
"281","1300 N MONROE ST, BALTIMORE, MD, 21217","11/20/16",2016,"Sandtown-Winchester/Harlem Park"
"282","2900 ARUNAH AVE, MD, 21216","11/21/16",2016,"Greater Rosemont"
"283","500 RANDOM ROAD, BALTIMORE, MD, 21229","11/22/16",2016,"Beechfield/Ten Hills/West Hills"
"284","5600 ALBANENE PL, MD, 21206","11/23/16",2016,"Cedonia/Frankford"
"285","1 N CAREY ST, BALTIMORE, MD, 21223","11/23/16",2016,"Poppleton/The Terraces/Hollins Market"
"286","600 LAURENS ST, MD, 21217","11/25/16",2016,"Upton/Druid Heights"
"287","4000 DUVALL AVE, BALTIMORE, MD, 21216","11/29/16",2016,"Forest Park/Walbrook"
"288","900 N BROADWAY, BALTIMORE, MD, 21205","11/30/16",2016,"Oldtown/Middle East"
"289","3500 FAIRVIEW AVE, BALTIMORE, MD, 21216","11/30/16",2016,"Forest Park/Walbrook"
"290","2900 GARRISON BLVD, BALTIMORE, MD, 21216","11/30/16",2016,"Forest Park/Walbrook"
"291","2900 GARRISON BLVD, BALTIMORE, MD, 21216","11/30/16",2016,"Forest Park/Walbrook"
"292","1400 PRESTON ST, MD, 21213","12/1/16",2016,"Greenmount East"
"293","400 N HIGHLAND AVE, BALTIMORE, MD, 21224","12/2/16",2016,"Patterson Park North & East"
"294","900 BENNETT PL, BALTIMORE, MD, 21223","12/4/16",2016,"Sandtown-Winchester/Harlem Park"
"295","900 BENNETT PL, BALTIMORE, MD, 21223","12/4/16",2016,"Sandtown-Winchester/Harlem Park"
"296","900 BENNETT PL, BALTIMORE, MD, 21223","12/4/16",2016,"Sandtown-Winchester/Harlem Park"
"297","100 N EUTAW ST, BALTIMORE, MD, 21201","12/5/16",2016,"Downtown/Seton Hill"
"298","2600 GREENMOUNT AVE, MD, 21218","12/9/16",2016,"Greater Charles Village/Barclay"
"299","1100 CURTAIN AVE, MD, 21218","12/9/16",2016,"Midway/Coldstream"
"300","2600 HARFORD ROAD, MD, 21218","12/10/16",2016,"Midway/Coldstream"
"301","3900 GROVELAND AVE, BALTIMORE, MD, 21215","12/13/16",2016,"Howard Park/West Arlington"
"302","3900 GROVELAND AVE, BALTIMORE, MD, 21215","12/13/16",2016,"Howard Park/West Arlington"
"303","5100 YORK ROAD, BALTIMORE, MD, 21212","12/14/16",2016,"North Baltimore/Guilford/Homeland"
"304","400 S MONROE ST, BALTIMORE, MD, 21223","12/14/16",2016,"Southwest Baltimore"
"305","4800 CORDELIA AVE, MD, 21215","12/15/16",2016,"Pimlico/Arlington/Hilltop"
"306","400 CAMBRIA ST, BALTIMORE, MD, 21225","12/16/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"307","2200 W LEXINGTON ST, BALTIMORE, MD, 21223","12/16/16",2016,"Southwest Baltimore"
"308","1800 RAYNER AVE, BALTIMORE, MD, 21217","12/19/16",2016,"Sandtown-Winchester/Harlem Park"
"309","1800 RAYNER AVE, BALTIMORE, MD, 21217","12/19/16",2016,"Sandtown-Winchester/Harlem Park"
"310","x=-76.632012, y=39.282489","12/20/16",2016,"Washington Village/Pigtown"
"311","5200 CUTHBERT AVE, BALTIMORE, MD, 21215","12/20/16",2016,"Pimlico/Arlington/Hilltop"
"312","3500 WOODLAND AVE, BALTIMORE, MD, 21215","12/21/16",2016,"Pimlico/Arlington/Hilltop"
"313","3600 LYNDALE AVE, BALTIMORE, MD, 21213","12/22/16",2016,"Belair-Edison"
"314","2400 EUTAW PL, BALTIMORE, MD, 21217","12/22/16",2016,"Penn North/Reservoir Hill"
"315","1100 WARD ST, MD, 21230","12/23/16",2016,"Washington Village/Pigtown"
"316","2000 BANK ST, BALTIMORE, MD, 21231","12/25/16",2016,"Fells Point"
"317","x=-76.583352, y=39.293099","12/25/16",2016,"Patterson Park North & East"
"318","2800 EDMONDSON AVE, MD, 21223","12/28/16",2016,"Greater Rosemont"
"319","2200 E NORTH AVE, BALTIMORE, MD, 21213","12/31/16",2016,"Clifton-Berea"
